File_Name,TGOS_URL,File_URL,File_Format,Description,Announcement_Date,YYY_ROC,Agency_Codes
墾丁國家公園細部計畫圖(SHP)(第4次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=9a562151-e9f9-4249-b83e-d4ceb19f2195&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/183fe407-6069-4a5e-bf22-3ad10bb465e4/墾丁(四通)_shp.zip,SHP,107年11月7日內政部核定；土地使用分區(用地類別)圖,107年11月14日墾丁國家公園管理處公告實施,107,A01030100G
玉山國家公園範圍圖(SHP)(第4次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=bd7f5497-48d7-434c-b169-940f1f3bae8f&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/1e71db17-c563-4767-a744-80190fdc632d/玉山NP(4通)範圍界1130312.zip,SHP,行政院111年11月30日院臺建字第1110035980號函核定,111年12月27日內政部公告玉山國家公園計畫(第4次通盤檢討)公告實施,111,A01030200G
玉山國家公園土地使用分區圖(SHP)(第4次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=82c597a7-2d75-40fb-b471-0c054d8a31e1&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/2f920135-e56f-493c-95a5-002cc59cf7cb/玉山國家公園第4次通盤檢討使用分區.zip,SHP,行政院111年11月30日院臺建字第1110035980號函核定,111年12月27日內政部公告玉山國家公園計畫(第4次通盤檢討)公告實施,111,A01030200G
玉山國家公園計畫範圍圖(SHP)(第3次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/ae839544-c5d7-44e0-8e32-bf22b89b48e4/mapdata201806120504.zip,SHP,行政院101年10月8日院臺建字第1010145584號函核定,內政部 101年11月12日台內營字第1010810982號函公告,101,A01030200G
玉山國家公園計畫範圍圖(WMS)(第3次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,行政院101年10月8日院臺建字第1010145584號函核定,內政部101年11月12日台內營字第1010810982號函公告,101,A01030200G
玉山國家公園計畫土地使用分區圖(SHP)(第3次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=1a1a30e0-b1b0-4718-b2a6-c88b19b92a62&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/35f9cfe5-9978-46da-a079-39f347d107f4/mapdata201903130319.zip,SHP,行政院101年10月8日院臺建字第1010145584號函核定,內政部101年11月12日台內營字第1010810982號函公告,101,A01030200G
玉山國家公園計畫範圍圖(SHP)(第2次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=e8115285-ccfb-4cdb-9341-d5274ce7e25a&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/3de2dedc-fd09-492a-8d3a-4825d1e42afe/mapdata202110120300.zip,SHP,行政院93年8月20日院臺建字第0930037590號函核定,內政部93年10月22日台內營字第09300087078號函公告,93,A01030200G
玉山國家公園計畫土地使用分區圖(SHP)(第2次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=a73d4eed-0b45-45e8-a0cd-4dc93c443f0a&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/f7c65ab9-be74-4cf7-bc8a-5528a461d6ce/mapdata202110120304.zip,SHP,行政院93年8月20日院臺建字第0930037590號函核定,內政部93年10月22日台內營字第09300087078號函公告,93,A01030200G
玉山國家公園計畫範圍圖(SHP)(第1次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3a3d25fb-6421-410b-9a61-e7970a0dff22&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/c6429ab5-098c-4bae-8433-bade00912b80/mapdata202110120257.zip,SHP,行政院83年1月26日台83內03278號函准予修正核定,內政部83年8月26日台(83)內營字第8388299號函公告,83,A01030200G
玉山國家公園計畫土地使用分區圖(SHP)(第1次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=8e5ce58b-5afd-4580-a935-2deadfd5955c&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/31f9dc5c-c473-4306-b264-28f61d68a61c/mapdata202110120253.zip,SHP,行政院83年1月26日台83內03278號函准予修正核定,內政部83年8月26日台(83)內營字第8388299號函公告,83,A01030200G
